duration;protocol_type;service;flag;src_bytes;dst_bytes;land;wrong_fragment;urgent;hot;num_failed_logins;logged_in;num_compromised;root_shell;su_attempted;num_root;num_file_creations;num_shells;num_access_files;num_outbound_cmds;is_host_login;is_guest_login;count;srv_count;serror_rate;srv_serror_rate;rerror_rate;srv_rerror_rate;same_srv_rate;diff_srv_rate;srv_diff_host_rate;dst_host_count;dst_host_srv_count;dst_host_same_srv_rate;dst_host_diff_srv_rate;dst_host_same_src_port_rate;dst_host_srv_diff_host_rate;dst_host_serror_rate;dst_host_srv_serror_rate;dst_host_rerror_rate;dst_host_srv_rerror_rate;attack_category;occurance
0;udp;domain_u;SF;44;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;146;0.00;0.00;0.00;0.00;1.00;0.00;0.01;255;255;1.00;0.00;0.01;0.00;0.00;0.00;0.00;0.00;normal;20
0;tcp;http;SF;246;3749;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;8;0.00;0.00;0.00;0.00;1.00;0.00;0.38;15;255;1.00;0.00;0.07;0.07;0.07;0.00;0.00;0.42;normal;21
0;tcp;private;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;8;1.00;1.00;0.00;0.00;0.03;0.06;0.00;255;12;0.05;0.07;0.00;0.00;1.00;1.00;0.00;0.00;neptune;21
0;udp;other;SF;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0.00;0.00;0.00;0.00;1.00;0.00;0.00;255;3;0.01;0.23;1.00;0.00;0.00;0.00;0.00;0.00;satan;11
0;icmp;eco_i;SF;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1;31;1.00;0.00;1.00;0.52;0.00;0.00;0.00;0.00;ipsweep;16
0;tcp;http;SF;356;883;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;51;0.09;0.02;0.00;0.00;1.00;0.00;0.08;11;255;1.00;0.00;0.09;0.04;0.09;0.00;0.00;0.00;normal;21
0;tcp;smtp;SF;1472;385;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0.00;0.00;0.00;0.00;1.00;0.00;1.00;255;119;0.47;0.02;0.00;0.00;0.33;0.36;0.01;0.00;normal;15
6;udp;domain_u;SF;77;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0.00;0.00;0.00;0.00;1.00;0.00;0.50;255;252;0.99;0.01;0.03;0.00;0.00;0.00;0.00;0.00;normal;21
0;udp;private;SF;105;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;1.00;0.00;0.00;255;229;0.90;0.01;0.01;0.00;0.00;0.00;0.00;0.00;normal;21
21;tcp;telnet;SF;110;3923;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;1.00;0.00;0.00;92;2;0.01;0.07;0.01;1.00;0.00;0.00;0.00;0.00;normal;20
